title	filenames	captions
Salore, Indonesia	Indonesia_Papua_location_map.svg	Salore is located in Papua (province)
Salore, Indonesia	Indonesia_location_map.svg	Salore is located in Indonesia
Sergei Makarov (footballer, born 1996)	Sergei_Makarov_2022.jpg	Makarov with Rotor Volgograd in 2022
The Express (newspaper)	Express_1_february_1896.JPG	Front page of The Express (February 1, 1896)
The Express (newspaper)	Express_xpressions_1_feb_1896.JPG	Local news in The Express (February 1, 1896)
139-153 Sussex Street, Sydney	OSM_central_Sydney.png	139-153 Sussex Street, Sydney is located in Sydney
139-153 Sussex Street, Sydney	Sussex_Street,_Sydney_historical_map_Hyatt_Hotel_precinct.jpg	Historical map of the precinct, prior to the Hyatt Regency Sydney development.
1905 German football championship Final	Berliner_TuFC_Union_92_04-05.jpg	Team photo of Union 92 Berlin
1920 Santo Domingo Census	USMC_Band,_1922,_Santo_Domingo,_Dominican_Republic_16_of_26_(6226960101).jpg	United States Marines next to Ozama Fortress
1927–28 Waratahs tour of the British Isles, France and Canada	AC_Johnny_Wallace.jpg	Johnnie Wallace, captain of the tour
1927–28 Waratahs tour of the British Isles, France and Canada	Cyril_towers_photo.jpg	Cyril Towers, Tour diarist
1944 Football League War Cup South Final	Chelsea_v_charlton_1944_programme.jpg	Official programme
As'ad Pasha al-Azem	Azem_Palace_Architecture.jpg	Architecture of the Azem Palace built in 1751 under the patronage of As'ad Pasha al-Azem
2015 Hong Kong heavy metal in drinking water incidents	Kai_Ching_Estate_201309.JPG	Kai Ching Estate, where lead contamination of drinking water was first uncovered.
2015 Hong Kong heavy metal in drinking water incidents	Kai_Ching_Estate_Water_tube_201507.jpg	Kai Ching Estate water plumbing
2015 Hong Kong heavy metal in drinking water incidents	Kai_Ching_Estate_Temp_water_supply_20150718.jpg	Kai Ching Estate temporary water supply
Aurora, Illinois minor league baseball history	Casey_Stengel,_full-length_portrait,_wearing_sunglasses,_while_playing_outfield_for_the_Brooklyn_Dodgers_LCCN97518651.tif	(1915) Casey Stengel, playing outfield for the Brooklyn Dodgers.
2019 San Miguel, Bulacan local elections	BULACAN.pdf	List of certified candidates running for seats in San Miguel.
Basilicas Park	Location_map_Milan_Central.png	Parco Papa Giovanni Paolo II is located in Milan
Basilicas Park	Italy_provincial_location_map_2016.svg	Parco Papa Giovanni Paolo II is located in Italy
Bilogo	Barangay_Bilogo.JPG	An entrance to Brgy. Bilogo
Bilogo	Official_Seal_of_Barangay_Bilogo,_Batangas_City.png	Official seal of Barangay Bilogo
Bilogo	Mapag-ong.JPG	Mapag-ong Hill in Sitio Santolan
Bilogo	Bilogo_Elementary_School.JPG	Public School
Bilogo	Barangay_Bilogo2.JPG	Purok 1 Entrance
Bilogo	Sitio_Santolan.JPG	Sitio Santolan
Bilogo	Mabilog_River.JPG	Mabilog River
Bramley Line	Overgrown_railway_south_of_Wisbech_-_geograph.org.uk_-_1349131.jpg	Track south of Wisbech, June 2009
Bramley Line	Bramley_Line_Logo.png	Logo of the Bramley Line project
Champaign–Urbana, Illinois minor league baseball history	Velvet.jpg	Champaign Velvet Beer
2022 San Mateo, Rizal local elections	2022_San_Mateo,_Rizal_Mayoral_Election_Mapped_Results.svg	Results of the election per ER Returns
2022 San Mateo, Rizal local elections	2022_San_Mateo,_Rizal_Vice_Mayoral_Election_Mapped_Results.svg	Results of the election per ER Returns
2022 San Mateo, Rizal local elections	2022_Rizal's_3rd_congressional_district_election_map_results.svg	Results of the election per ER Returns
2022 San Mateo, Rizal local elections	2022_Rizal's_3rd_provincial_board_district_election_map_results.svg	Results of the election per ER returns
2019 UEFA Nations League Final	Porto_Estádio_do_Dragão_2.jpg	The Estádio do Dragão in Porto hosted the final
2019 UEFA Nations League Final	Mallenco.jpg	Referee Alberto Undiano Mallenco retired from refereeing after this match.
2021 UEFA Nations League Final	Pre-show_of_the_Nations_League_finals_2021_in_Milan,_Italy.jpg	Pre-show at the final in San Siro, Milan.
2021 UEFA Nations League Final	Chelsea_2_Spurs_0_Capital_One_Cup_winners_2015_(16692371952)_(cropped).jpg	Englishman Anthony Taylor was selected as the referee for the final.
Constellations (1980 book)	Constellations_(1980_book).jpg	First edition
Georgina Cowper-Temple, Lady Mount-Temple	Georgina_Baroness_Mount-Temple_-_geograph.org.uk_-_1628450.jpg	Bronze statue of Lady Mount Temple in Babbacombe
Al-Azem Palace	DamascusAzemPalaceLargeCrtyd.jpg	The northern facade of the courtyard
Al-Azem Palace	Azem_Palace.jpg	The courtyard and garden of the palace
Al-Azem Palace	Pomes_on_the_door.jpg	Details of the stonework in the palace
Dexter (community), Wisconsin	USA_Wisconsin_location_map.svg	Dexter, Wisconsin is located in Wisconsin
Dexter (community), Wisconsin	Usa_edcp_location_map.svg	Dexter, Wisconsin is located in the United States
Flags of Bolivia	FIAV_100100.svg	Civil flag and ensign
Flags of Bolivia	FIAV_normal.svg	Normal or de jure version of flag, or obverse side
Flags of Bolivia	FIAV_011010.svg	State flag and ensign, war flag
Flags of Bolivia	FIAV_normal.svg	Normal or de jure version of flag, or obverse side
Flags of Bolivia	Banner_of_the_Qulla_Suyu.svg	Dual flag
Flags of Bolivia	FIAV_111000.svg	National flag
Flags of Bolivia	FIAV_normal.svg	Normal or de jure version of flag, or obverse side
Flags of Bolivia	Naval_Ensign_of_Bolivia.svg	Maritime Flag
Flags of Bolivia	FIAV_000001.svg	War ensign
Flags of Bolivia	FIAV_normal.svg	Normal or de jure version of flag, or obverse side
Flags of Bolivia	Naval_Jack_of_Bolivia.svg	Naval Jack
Flags of Bolivia	Palacio_Quemado_5286086284_2923c64010_t.jpg	The Wiphala and the tricolor flying on the presidential Palacio Quemado in La Paz.
Flags of Bolivia	Bolivian_flag.png	State Flag of Bolivia on flagpole
Flags of Bolivia	Bolivia,_from_Flags_of_All_Nations,_Series_1_(N9)_for_Allen_&_Ginter_Cigarettes_Brands_MET_DP831931.jpg	The 1831–51 flag on a cigarette card
Flags of Bolivia	Flag_of_Cross_of_Burgundy.svg	Colonial flag, Spanish Empire flag (1506–1825/1821 in Peru, and Bolivia), (1506–1785/1701 in other colonies), (1506–1821 in Philippines)
Flags of Bolivia	Flag_of_Bolivia_(1825-1826).svg	Bandera Menor, Civil flag (1825–1826)
Flags of Bolivia	Flag_of_Bolivia_(state,_1825-1826).svg	Bandera Mayor, State flag (1825–1826)
Flags of Bolivia	Flag_of_Bolivia_(1826-1851).svg	Bandera Menor, Civil flag (1831–1851)
Flags of Bolivia	Flag_of_Bolivia_(state,_1826-1851).svg	Bandera Mayor, State flag (1831–1851)
Flags of Bolivia	Flag_of_the_Peru-Bolivian_Confederation.svg	Peru-Bolivian Confederation (1836–1839)
Flags of Bolivia	Banner_of_the_Qulla_Suyu.svg	Wiphala banner (used since 2009, allegedly Incan)
Flags of Bolivia	Naval_Ensign_of_Bolivia_(1966-2013).svg	Former naval ensign of Bolivia (1966–2013)
Flags of Bolivia	Bandera_de_Bolivia_(Guerra).svg	Flag of the Armed Forces of Bolivia
Flags of Bolivia	Banner_of_the_Qulla_Suyu.svg	Wiphala of Bolivia
Flags of Bolivia	Flag_of_Bolivia_(state).svg	Flag of Bolivia
Gundughdi, Meyaneh	Iran_location_map.svg	Gundughdi is located in Iran
Early iPhone processors	S5L8900.jpg	The S5L8900 system on a chip (SoC)
Early iPhone processors	Apple_SoC_S5L8920.jpg	The S5L8920 chip used in the iPhone 3GS.
Galesburg, Illinois minor league baseball history	Sam_Rice,_Washington_AL_(baseball)_LCCN2014701441.tif	Sam Rice, Washington AL 1916. Rice played with the Galesburg Pavers in 1912, but left the team when his family was killed in a tornado in April, 1912.
Galesburg, Illinois minor league baseball history	GC_Alexander_retouched.jpg	Grover Cleveland Alexander
Girl like Me (Black Eyed Peas and Shakira song)	Shakira2009.jpg	"""Girl like Me"" is Shakira's first Hot 100 entry since her 2017 single ""Perro Fiel"", making her the first Latin artist to have singles charted in 2000s, 2010s and 2020s."
Ioannis Papadopoulos	Ioannis_Papadopoulos.jpg	Ioannis Papadopoulos at the World Junior Chess Championship in 2008
Five Points, Grant County, Wisconsin	USA_Wisconsin_location_map.svg	Five Points is located in Wisconsin
Five Points, Grant County, Wisconsin	Usa_edcp_location_map.svg	Five Points is located in the United States
Hurricane, Wisconsin	USA_Wisconsin_location_map.svg	Hurricane is located in Wisconsin
Hurricane, Wisconsin	Usa_edcp_location_map.svg	Hurricane is located in the United States
Jacksonville, Illinois micropolitan area	Jacksonville_Micropolitan_Area.png	Location of the Jacksonville Micropolitan Statistical Area in Illinois
Independent school (United Kingdom)	Merchant_Taylors_School_fields_12-04-08_003.jpg	Merchant Taylors' School, one of the 'Great Nine' public schools of England.
Independent school (United Kingdom)	Warwick_School_front.jpg	Warwick School, one of the oldest independent schools in Britain.
Independent school (United Kingdom)	Fettes_College_south_front,_Edinburgh.JPG	Fettes College is one of Scotland's most famous independent schools, particularly since the 1997 Labour Government led by former pupil, Tony Blair. 
Independent school (United Kingdom)	Worth_School_in_snow.jpg	Worth School, a Roman Catholic independent school founded by a group of monks of the Benedictine faith.
Island Beach State Park	2013-08-21_12_34_24_Wetlands_along_Barnegat_Bay_near_the_southern_end_of_Island_Beach_State_Park,_New_Jersey.jpg	Wetlands along Barnegat Bay near the southern end of Island Beach State Park
Island Beach State Park	USA_New_Jersey_location_map.svg	Island Beach State Park is located in New Jersey
Island Beach State Park	Usa_edcp_location_map.svg	Island Beach State Park is located in the United States
Island Beach State Park	IslandBeachRoad.jpg	Typical flora of Island Beach State Park, as seen along Shore Road, the main road through the park.
Island Beach State Park	2013-08-21_14_49_33_View_north_up_the_beach_from_the_middle_of_the_beach_at_Bathing_Beach_Number_1_in_Island_Beach_State_Park.jpg	Bathing beach at Island Beach State Park on a sunny summer day
Jackson Frazier	Clint_Frazier_July_11,_2018_(45566359035)_(cropped).jpg	Frazier with the Yankees in 2018
John Rodriguez	John_Rodriguez_-_2014_(cropped).jpg	John Rodriguez during a NDP local meeting in Sudbury in May 2014.
Gibraltar variant British passport	British_passport_(Gibraltar).jpg	The front cover of a contemporary Gibraltar biometric passport (pre March 2019).
Gibraltar variant British passport	Gibraltarpassportdatapage.jpg	Gibraltar ePassport information page prior to 2020
Gibraltar variant British passport	Gibraltar_old_passport.jpg	Cover of an older-style Gibraltar-issued British passport from the 1970s
Gibraltar variant British passport	Symbol_portal_class.svg	Portal
Keith Williams (basketball)	Nikos_Galis_Keith_Williams.jpg	Williams (Śląsk Wrocław, on the left) and Nikos Galis (Aris, on the right) during a EuroLeague game in 1991.
Algernon Freeman-Mitford, 1st Baron Redesdale	Algernon_Bertram_Freeman-Mitford,_Vanity_Fair,_1904-06-16.jpg	Portrait in 1902 by Leslie Ward
Khanqah, Meyaneh	Iran_location_map.svg	Khanqah is located in Iran
Karlsruhe student union	Studentenhaus.jpg	The Studentenhaus of the Studierendenwerk Karlsruhe
Khodaafarin Bridges	Khudafarin_bridge_in_16_November_2020_(3).jpg	One of the bridges in 2020
Khodaafarin Bridges	Khoda_Afarin_bridges.jpg	Khodaafarin bridges with the dam seen behind
Khodaafarin Bridges	13th_century_Khudaferin_bridge.jpg	11-span bridge in 2023
Khour Ela	Timur_granting_audience_on_the_occasion_of_his_accession_(right).jpg	Timur in the Zafarnama
Joliet, Illinois minor league baseball history	Silver_Cross_Field.jpg	(2011) Silver Cross Field, now DuPage Medical Group Field. Joliet, Illinois
List of amphibians of North America north of Mexico	SpottedSalamander.jpg	Spotted salamander, Ambystoma maculatum
List of amphibians of North America north of Mexico	Plethodon_dorsalis.jpg	Northern zigzag salamander, Plethodon dorsalis
List of amphibians of North America north of Mexico	Amphiuma_means.jpg	Two-toed amphiuma, Amphiuma means
List of amphibians of North America north of Mexico	Coastal_Giant_Salamander,_Dicamptodon_tenebrosus.jpg	Coastal giant salamander, Dicamptodon tenebrosus
List of amphibians of North America north of Mexico	Siren_intermedia_1.jpg	Lesser siren, Siren intermedia
List of amphibians of North America north of Mexico	Bullfrog_-_Rana_catesbeiana.jpg	American bullfrogLithobates catesbeiana
List of amphibians of North America north of Mexico	Ascaphus_truei_web.jpg	Coastal tailed frog, Ascaphus truei
List of amphibians of North America north of Mexico	Bufo_americanusPCCA20060417-3354B.jpg	American toadAnaxyrus americanus - detail of parotoid glands
List of amphibians of North America north of Mexico	Spea_hammondii_1.jpg	Western spadefoot toadSpea hammondii
List of amphibians of North America north of Mexico	Gray_tree_frog.jpg	Gray tree frog, Hyla versicolor
Lakhmids	Lakhmid_Kingdom.png	Map of the Lakhmid kingdom in the 6th-century. Light green is Sasanian territory governed by the Lakhmids
Lakhmids	Hira_Ruined_Entry.jpg	The ruins of a building in al-Hira, the Lakhmids' capital city,
Lakhmids	Kamal-ud-din_Bihzad_-_Construction_of_the_fort_of_Kharnaq.jpg	A Persian manuscript from the 15th century describing the constructing of al-Khornaq Castle in al-Hirah.
East Coast IceJam	Icejam-logo-20.png	East Coast IceJam
Lukáš Hrádecký	Lukáš_Hrádecký_August_2018.jpg	Hrádecký with Bayer Leverkusen in 2018
Lukáš Hrádecký	Lukas_hradecky.jpg	Hrádecký with Finland in 2011
Marion, Illinois tornado outbreak	Mariontor1.jpg	The F4 Marion tornado crossing Interstate 57 near Illinois Route 13
Marion, Illinois tornado outbreak	Radarloopmarion.gif	Radar loop of the storm that produced the Marion, Illinois, tornado.
Marion, Illinois tornado outbreak	Satellitemarion.jpg	Satellite photo of the clouds that produced the storm.
Marion, Illinois tornado outbreak	Mariondamage.jpg	Damage to the Marion area.
List of journalists killed during the Israeli-Palestinian conflict	Israel_location_map_with_stripes.svg	List of journalists killed during the Israeli-Palestinian conflict is located in Israel
List of journalists killed during the Israeli-Palestinian conflict	Map_Land_of_Israel.jpg	Land of Israel
List of journalists killed during the Israeli-Palestinian conflict	Is-map.PNG	1949 cease-fire borders of Israel
List of journalists killed during the Israeli-Palestinian conflict	Israel_location_map.svg	Contemporary Israel
List of journalists killed during the Israeli-Palestinian conflict	Emblem_of_Israel.svg	Emblem of Israel
List of journalists killed during the Israeli-Palestinian conflict	Coat_of_arms_of_Palestine.svg	Coat of arms of Palestine
List of Committees of the Parliament of South Africa	SA_COGTA_committee_in_session,_November_2019_(1).jpg	Meeting of the Portfolio Committee on Cooperative Governance and Traditional Affairs in 2019
List of Committees of the Parliament of South Africa	Justice_Committee_of_the_SA_Parliament.jpg	The backs of DA MPs Glynnis Breytenbach and James Selfe in the Portfolio Committee Justice and Correctional Services in November 2019
Detention Centres in Libya	Base_Map_of_Libya.png	Map of Libya
Detention Centres in Libya	Secret_prisons_-_Flickr_-_Al_Jazeera_English_(10).jpg	An underground prison in Libya.
Detention Centres in Libya	Wikinews-logo.svg	Wikinews page
Maisie Dobbs (novel)	Maisiedobbs.jpg	Front cover of book showing a woman's face
Lumina (software)	DragonFly_BSD_6.2.1_Lumina_desktop_screenshot.png	Lumina 1.6.2 on DragonFly BSD
João Carlos de Castro Ferreira	Paulistão_A1_-_São_Bernardo_2x0_Corinthians_(52681299633)_-_João_Carlos.jpg	João Carlos with São Bernardo in 2023
Nicole Simone	Nicole_Simone.jpg	2019
Nightingale's eye pattern	Britannica_Diaper.jpg	A diaper weave, that is creating a diamond pattern in the cloth.
Nightingale's eye pattern	Nachtigall_(Luscinia_megarhynchos)-2.jpg	Nightingale's eye
Park Place (Norfolk)	Colonial_Avenue_2800_block.jpg	Colonial Avenue north of 28th Street
Park Place (Norfolk)	USA_Virginia_location_map.svg	Park Place (Norfolk) is located in Virginia
Park Place (Norfolk)	Usa_edcp_location_map.svg	Park Place (Norfolk) is located in the United States
Dave Roberts (outfielder)	Dave_Roberts_Winter_Meetings.jpg	Roberts at the 2015 Winter Meetings
Dave Roberts (outfielder)	Dave_Roberts_2004.jpg	Roberts playing for the Los Angeles Dodgers
Dave Roberts (outfielder)	Roberts.JPG	Roberts playing for the San Francisco Giants
Dave Roberts (outfielder)	Dave_Roberts_on_September_3,_2013.jpg	Roberts as Padres coach
Dave Roberts (outfielder)	President_Joe_Biden_and_Vice_President_Kamala_Harris_with_the_Los_Angeles_Dodgers_(2).jpg	Roberts (far right) with Joe Biden, Kamala Harris and the Dodgers at the White House in 2021
Dave Roberts (outfielder)	Roberts_aboard_Carl_Vinson.jpg	Roberts observes flight operations from the primary flight control tower on board USS Carl Vinson (CVN-70) in December 2010
David Freeman-Mitford, 2nd Baron Redesdale	BritishBrothersLeaguePoster(1902).jpg	Notice of a demonstration organised by the British Brothers' League
David Freeman-Mitford, 2nd Baron Redesdale	The_Mitford_family_in_1928.jpg	The Mitford family in 1928
Grand Valley (Colorado-Utah)	Grand_Valley_at_night_with_full_moon.jpg	A portion of the Grand Valley at dusk,November 2013
Grand Valley (Colorado-Utah)	USA_Colorado_location_map.svg	Grand Valley is located in Colorado
Grand Valley (Colorado-Utah)	Usa_edcp_location_map.svg	Grand Valley is located in the United States
Grand Valley (Colorado-Utah)	Grand_valley-sand_stone_rocks.jpg	Sandstone rocks and formations are common on the Colorado Plateau desert lands, November 2013
Neiba Agave sphaero	Sphaerodactylus_schuberti_Hispaniola_location_map.png	Distribution of Sphaerodactylus schuberti (known range; red).
2019 Santa Maria, Bulacan local elections	BULACAN.pdf	List of certified candidates running for seats in Santa Maria.
2026 Latvian parliamentary election	Opinion_polling_for_Latvian_Saeima_election,_2026.svg	Graphical summary.
Oil industry in Cushing	Cushing_oil_storage.jpg	Graph of weekly Cushing Stocks excluding SPR of Crude Oil from 2004 to 2018
Oil industry in Cushing	Enbridge_tank_farm,_Cushing_Oklahoma.jpg	Enbridge crude oil tank farm has a maximum storage capacity of 20,060,000 barrels (3,189,000 m3) (2010)
Oil industry in Cushing	Enbridge_tank_farm,_Cushing_OK.jpg	The stairs give a relative perspective of the size of the massive storage tanks in Cushing
Pokémon: Zoroark: Master of Illusions	Zoroark_US_DVD_Cover.png	Japanese theatrical release poster
Quincy, Illinois micropolitan area	Quincy-hannibal.JPG	Location of {{{official_name}}}
Quincy, Illinois micropolitan area	Map_of_Illinois_highlighting_Adams_County.svg	Map of Illinois highlighting Adams County
Quincy, Illinois micropolitan area	Map_of_Missouri_highlighting_Lewis_County.svg	Map of Missouri highlighting Lewis County
Sowmaeh-ye Olya, Meyaneh	Iran_location_map.svg	Sowmaeh-ye Olya is located in Iran
Sultan Ahmad 1 State Mosque	Pahang_location_map.svg	Sultan Ahmad 1 State Mosque is located in Pahang
Sultan Ahmad 1 State Mosque	Old_Mosque_of_Pahang_State_Mosque.jpg	Old Pahang State Mosque.
Bellator Paris	BellatorParis.jpg	The poster for Bellator Paris: Mousasi vs. Edwards.
Rokudō no Onna-tachi	Cover_Art_Rokudou_no_Onna-tachi_Vol._1.jpg	Cover of the first manga volume featuring Ranna Himawari
Ottawa, Illinois minor league baseball history	Lincoln_vs_Douglas_Debate_Memorial_-_Washington_Park_Historic_District-Ottawa_Illinois.png	(2019) Lincoln vs Douglas Debate Memorial - Washington Park. National Register of Historic Places. Ottawa Illinois
Harvey, Illinois train collision	Amtrak_Shawnee_at_Centralia,_June_1978.jpg	The Amtrak train was a Shawnee, composed of a GE P30CH and five Superliner passenger cars (the train seen in this photo is equipped with Amfleet cars).
Dayıdağ, Nizip	Turkey_adm_location_map.svg	Dayıdağ is located in Turkey
Jackaroo (trainee)	Cooplacurripa_station_in_northern_New_South_Wales,_Australia.jpg	A cattle station in northern New South Wales, where a jackaroo could be working
Ereymentau	Kazakhstan_adm_location_map.svg	Ereymentau is located in Kazakhstan
Jacksonville, Illinois minor league baseball history	Jacksonville,_Il_(35177474476).jpg	(2017) Jacksonville, Illinois
The Dot	The_Dot.jpg	Front cover, designed by MOO
Flora Fountain, Wisconsin	USA_Wisconsin_location_map.svg	Flora Fountain is located in Wisconsin
Flora Fountain, Wisconsin	Usa_edcp_location_map.svg	Flora Fountain is located in the United States
Pokémon: Jirachi—Wish Maker	Pokémon_Jirachi_Wish_Maker_poster.jpg	Japanese Theatrical release poster
Donzelague (harpsichord makers)	Donzelague-Clavecin-_1716_-.jpg	A harpsichord by Pierre Donzelague of Lyon, dated 1716
Jersey variant British passport	Jersey_Passport_(Blue).png	The front cover of a post-2020 Jersey-variant British biometric passport.
Jersey variant British passport	Jerseypassportbiodata.jpg	The biodata page of the Jersey-variant British biometric passport
Jersey variant British passport	Jersey_passport_1827_Le_Gros.jpg	1827 Jersey-variant British passport
The Finding of Moses (Washington)	Paolo_Veronese_–_The_Finding_of_Moses_-_NGA.jpg	The Finding of Moses
Jolfa, Iran (city)	Central_Square_of_Jolfa.jpg	Central Square of Jolfa
Jolfa, Iran (city)	Iran_location_map.svg	Jolfa is located in Iran
Jolfa, Iran (city)	St-Stepanous-02.jpg	Saint Stepanos Monastery near Jolfa
Varzeqan, Meyaneh	Iran_location_map.svg	Varzeqan is located in Iran
Mohamed Ahmed (footballer)	Mohamed_Ahmed.jpg	Mohamed Ahmed with United Arab Emirates at the 2019 AFC Asian Cup
Grūda River	--GFDL-self--Gruda.JPG	river near Marcinkonys village
Herat campaign of 1862–63	Dost_Mohammad_Khan_sitting_with_three_sons.jpg	Dost Mohammad Khan with his 3 sons
Guernsey variant British passport	Guernsey_Passport_(Blue).png	The front cover of a post-2020 Guernsey biometric passport.
Guernsey variant British passport	Guernseypassportbiodata.jpg	The biodata page of the Guernsey biometric passport
Guernsey variant British passport	Guernsey_passport.jpg	Jersey Passport front cover prior to 2020
Kaleköy, Nizip	Turkey_adm_location_map.svg	Kaleköy is located in Turkey
French-Algerian War 1681–1688	Royal_Standard_of_the_King_of_France.svg	Royal Standard of the King of France
French-Algerian War 1681–1688	Royal_Standard_of_the_King_of_France.svg	Royal Standard of the King of France
French-Algerian War 1681–1688	Royal_Standard_of_the_King_of_France.svg	Royal Standard of the King of France
French-Algerian War 1681–1688	Royal_Standard_of_the_King_of_France.svg	Royal Standard of the King of France
French-Algerian War 1681–1688	Supplice_du_consul_de_france_pere_levacher.JPG	Dutch engraving showing the death of Consul le Vacher, 1698
1950 Individual Speedway Polish Championship	Speedway_logo.svg	Mistrzostwa Polski Par Klubowych
1950 Individual Speedway Polish Championship	Flag_of_Poland.svg	Poland
He Mele Lahui Hawaii	Liliuokalani_in_1865_(PPWD-16-4-001).jpg	Lydia Kamakaʻeha in 1865
He Mele Lahui Hawaii	He_Mele_Lahui_Hawaii_-_A_Hawaiian_National_Song_-_Advertisement.jpg	An advertisement for the He Mele Lahui Hawaii that appeared in the Pacific Commercial Advertiser on June 8, 1867
He Mele Lahui Hawaii	Flag_of_Hawaii.svg	Flag of Hawaii
1950 IFA Shield Final	16_September_1950_-_East_Bengal_3-0_Services_-_IFA_Shield_Final_-_PBA_Saleh_receiving_Shield_trophy_from_West_Bengal_Governor_Dr._Kailashnath_Katju.jpg	PBA Saleh receiving the IFA Shield trophy from West Bengal Governor Dr. Kailashnath Katju
1950 IFA Shield Final	East_Bengal_FC_1949_IFA_Shield.jpg	East Bengal team with the 1950 IFA Shield trophy.
Hesston shooting	Cedric_Larry_Ford.jpg	Cedric Larry Ford.
Josh Woods (Canadian Football)	2022,_03,_Josh_Woods.jpg	Woods with the Lions in 2022
Sabang, Cabayugan	Sabang,_Mountains_by_the_sea,_Palawan,_Philippines.jpg	Sabang Beach
Sabang, Cabayugan	The_beach_of_Sabang,_Palawan,_Philippines.jpg	The beach of Sabang, Palawan
Sabang, Cabayugan	Coconut_palm_trees_on_the_beach_of_Sabang,_Palawan,_Philippines.jpg	Palm trees on the beach of Sabang, Palawan
Sabang, Cabayugan	The_landscape_of_central_Palawan,_limestone_rock_formations,_Philippines.jpg	Outskirts of Sabang
Sabang, Cabayugan	Sabang_beach_boat_transport.jpg	Boat transport to the Underground River off Sabang beach
Sabang, Cabayugan	Sabang_Tricycles.jpg	Local tricycle taxis in Sabang
Sabang, Cabayugan	Palawan_Underground.JPG	The Underground River in 2012
Sabang, Cabayugan	Sabang_beach_cafe.jpg	Beach front cafe in Sabang
Sabang, Cabayugan	Sabang_Beach_01.jpg	Sabang Beach
Sabang, Cabayugan	Sabang_Resort.jpg	An upscale resort on Sabang beach
Sabang, Cabayugan	Sabang,_Palawan.jpg	The main road through Sabang
Kharough	Coat_of_Khorog.jpg	Official seal of Kharough
Kharough	Tajikistan_adm_location_map.svg	Kharough is located in Tajikistan
Kharough	Khorog2.jpg	Typical scenery in the area
Kharough	Transport-dush-khorog.jpg	Along the Dushanbe–Khorugh highway
Kharough	Khorog_panorama.jpg	Panorama of Khorugh from the north
Kharough	Khorughpano.JPG	Panorama of Khorugh from the east
